Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Factory Latitude,Factory Longitude,Distance (km),Lead Time
11,ORD00011,2025-08-18,2025-08-23,Standard,CUST8053,USA,Chicago,IL,82118,Other,Central,P385,Kazookles,1068.85,215,451.03,617.82,The Other Factory,35.1175,-89.971107,781,5
12,ORD00012,2025-04-29,2025-05-04,First,CUST4822,USA,Chicago,IL,11581,Sugar,Central,P596,Hair Toffee,191.75,87,43.2,148.55,The Other Factory,35.1175,-89.971107,1658,5
13,ORD00013,2025-01-03,2025-01-07,First,CUST6220,USA,Houston,TX,26448,Other,South,P807,Wonka Gum,304.18,84,90.2,213.98,Secret Factory,41.446333,-90.565487,1254,4
14,ORD00014,2025-07-20,2025-07-25,Same Day,CUST7560,USA,New York,NY,18158,Other,East,P295,Wonka Gum,671.4,213,139.44,531.96,Secret Factory,41.446333,-90.565487,2390,5
15,ORD00015,2025-02-26,2025-02-28,Same Day,CUST3478,USA,Houston,TX,80335,Chocolate,South,P203,Wonka Bar - Fudge Mallows,696.72,184,144.39,552.33,Lot's O' Nuts,32.881893,-111.768036,764,2
16,ORD00016,2025-11-11,2025-11-16,Standard,CUST6691,USA,New York,NY,88941,Sugar,East,P472,Laffy Taffy,510.84,202,132.82,378.02,Sugar Shack,48.11914,-96.18115,951,5
17,ORD00017,2025-08-27,2025-09-04,Standard,CUST2674,USA,New York,NY,54909,Sugar,East,P858,Nerds,864.73,255,173.79,690.94,Sugar Shack,48.11914,-96.18115,2099,8
18,ORD00018,2025-01-12,2025-01-19,Second,CUST3401,USA,Chicago,IL,81194,Chocolate,Central,P127,Wonka Bar - Triple Dazzle Caramel,676.43,115,230.52,445.91,Wicked Choccy's,32.076176,-81.088371,2214,7
19,ORD00019,2025-09-23,2025-09-29,Standard,CUST4650,USA,Los Angeles,CA,79807,Other,West,P654,Lickable Wallpaper,1049.91,197,307.09,742.82,Secret Factory,41.446333,-90.565487,1169,6
20,ORD00020,2025-05-03,2025-05-07,Second,CUST9480,USA,Los Angeles,CA,74589,Other,West,P464,Lickable Wallpaper,962.19,215,242.01,720.18,Secret Factory,41.446333,-90.565487,899,4
21,ORD00021,2025-08-30,2025-09-05,Standard,CUST6640,USA,New York,NY,68619,Sugar,East,P927,Hair Toffee,440.38,142,158.64,281.74,The Other Factory,35.1175,-89.971107,1244,6
22,ORD00022,2025-04-23,2025-04-25,First,CUST4348,USA,Los Angeles,CA,73262,Other,West,P739,Kazookles,168.92,62,40.76,128.16,The Other Factory,35.1175,-89.971107,429,2
23,ORD00023,2025-11-26,2025-11-30,Same Day,CUST7365,USA,New York,NY,36125,Other,East,P589,Kazookles,241.78,53,51.69,190.09,The Other Factory,35.1175,-89.971107,1509,4
24,ORD00024,2025-02-14,2025-02-17,Same Day,CUST2391,USA,Houston,TX,30821,Other,South,P274,Kazookles,927.49,212,364.01,563.48,The Other Factory,35.1175,-89.971107,1461,3
25,ORD00025,2025-12-02,2025-12-09,Second,CUST8771,USA,New York,NY,96149,Chocolate,East,P458,Wonka Bar -Scrumdiddlyumptious,396.28,84,141.85,254.43,Lot's O' Nuts,32.881893,-111.768036,2006,7
26,ORD00026,2025-11-29,2025-12-03,Standard,CUST8107,USA,Houston,TX,35533,Chocolate,South,P945,Wonka Bar -Scrumdiddlyumptious,307.36,62,132.74,174.62,Lot's O' Nuts,32.881893,-111.768036,158,4
27,ORD00027,2025-04-19,2025-04-25,Standard,CUST6341,USA,Houston,TX,43995,Other,South,P657,Wonka Gum,725.81,159,288.1,437.71,Secret Factory,41.446333,-90.565487,1131,6
28,ORD00028,2025-08-23,2025-08-30,Standard,CUST9219,USA,Houston,TX,27139,Sugar,South,P644,SweeTARTS,1223.92,274,524.79,699.13,Sugar Shack,48.11914,-96.18115,1549,7
29,ORD00029,2025-11-08,2025-11-10,Same Day,CUST3319,USA,New York,NY,72061,Chocolate,East,P733,Wonka Bar -Scrumdiddlyumptious,53.25,12,11.97,41.28,Lot's O' Nuts,32.881893,-111.768036,850,2
30,ORD00030,2025-12-16,2025-12-22,Standard,CUST2738,USA,New York,NY,83439,Sugar,East,P158,Hair Toffee,1157.89,275,380.52,777.37,The Other Factory,35.1175,-89.971107,1435,6
31,ORD00031,2025-02-20,2025-02-22,First,CUST2038,USA,Houston,TX,68097,Chocolate,South,P433,Wonka Bar - Milk Chocolate,860.94,269,153.35,707.59,Wicked Choccy's,32.076176,-81.088371,272,2
32,ORD00032,2025-09-18,2025-09-23,First,CUST5057,USA,Houston,TX,78578,Other,South,P997,Fizzy Lifting Drinks,1498.2,283,502.49,995.71,Sugar Shack,48.11914,-96.18115,1952,5
33,ORD00033,2025-03-12,2025-03-18,Second,CUST2188,USA,Los Angeles,CA,97969,Other,West,P346,Kazookles,589.48,223,187.18,402.3,The Other Factory,35.1175,-89.971107,1933,6
34,ORD00034,2025-03-04,2025-03-09,Second,CUST6999,USA,New York,NY,28740,Sugar,East,P359,SweeTARTS,543.29,89,200.75,342.54,Sugar Shack,48.11914,-96.18115,1340,5
35,ORD00035,2025-02-18,2025-02-20,Same Day,CUST4665,USA,Houston,TX,31163,Other,South,P823,Kazookles,1026.11,213,235.38,790.73,The Other Factory,35.1175,-89.971107,999,2
36,ORD00036,2025-04-11,2025-04-16,First,CUST1319,USA,Chicago,IL,54299,Sugar,Central,P667,SweeTARTS,720.1,192,279.21,440.89,Sugar Shack,48.11914,-96.18115,1825,5
37,ORD00037,2025-06-19,2025-06-26,Standard,CUST2053,USA,Chicago,IL,24791,Sugar,Central,P907,Nerds,1263.75,274,425.36,838.39,Sugar Shack,48.11914,-96.18115,1674,7
38,ORD00038,2025-05-20,2025-05-26,Standard,CUST3122,USA,New York,NY,65345,Chocolate,East,P969,Wonka Bar - Milk Chocolate,147.83,30,34.89,112.94,Wicked Choccy's,32.076176,-81.088371,1187,6
39,ORD00039,2025-10-02,2025-10-04,Same Day,CUST2465,USA,Los Angeles,CA,46577,Other,West,P158,Kazookles,1294.47,273,495.54,798.93,The Other Factory,35.1175,-89.971107,711,2
40,ORD00040,2025-05-18,2025-05-19,Same Day,CUST2372,USA,Houston,TX,89715,Other,South,P976,Lickable Wallpaper,93.38,18,37.83,55.55,Secret Factory,41.446333,-90.565487,396,1
41,ORD00041,2025-08-21,2025-08-24,First,CUST5388,USA,New York,NY,91487,Chocolate,East,P232,Wonka Bar - Milk Chocolate,53.95,15,18.73,35.22,Wicked Choccy's,32.076176,-81.088371,598,3
42,ORD00042,2025-05-15,2025-05-20,Standard,CUST5997,USA,Houston,TX,79610,Chocolate,South,P877,Wonka Bar - Nutty Crunch Surprise,120.25,35,51.9,68.35,Lot's O' Nuts,32.881893,-111.768036,761,5
43,ORD00043,2025-12-11,2025-12-16,Same Day,CUST5103,USA,Los Angeles,CA,14843,Chocolate,West,P115,Wonka Bar - Milk Chocolate,369.77,101,149.96,219.81,Wicked Choccy's,32.076176,-81.088371,2148,5
44,ORD00044,2025-08-17,2025-08-20,Same Day,CUST9110,USA,Houston,TX,81553,Chocolate,South,P954,Wonka Bar - Nutty Crunch Surprise,320.13,64,118.8,201.33,Lot's O' Nuts,32.881893,-111.768036,1106,3
45,ORD00045,2025-04-28,2025-05-01,First,CUST3289,USA,Chicago,IL,63044,Other,Central,P455,Kazookles,638.68,185,269.32,369.36,The Other Factory,35.1175,-89.971107,981,3
46,ORD00046,2025-11-17,2025-11-21,Standard,CUST7240,USA,Houston,TX,76314,Chocolate,South,P786,Wonka Bar - Nutty Crunch Surprise,444.9,140,84.14,360.76,Lot's O' Nuts,32.881893,-111.768036,389,4
47,ORD00047,2025-08-24,2025-08-26,First,CUST5312,USA,Houston,TX,57728,Chocolate,South,P436,Wonka Bar - Triple Dazzle Caramel,289.04,104,92.08,196.96,Wicked Choccy's,32.076176,-81.088371,285,2
48,ORD00048,2025-06-08,2025-06-11,Second,CUST7252,USA,Los Angeles,CA,20995,Sugar,West,P586,Fun Dip,347.43,121,58.06,289.37,Sugar Shack,48.11914,-96.18115,241,3
49,ORD00049,2025-01-03,2025-01-10,Second,CUST7545,USA,Houston,TX,86913,Chocolate,South,P142,Wonka Bar - Triple Dazzle Caramel,151.69,56,30.71,120.98,Wicked Choccy's,32.076176,-81.088371,2167,7
50,ORD00050,2025-11-19,2025-11-23,First,CUST3543,USA,New York,NY,96185,Sugar,East,P833,SweeTARTS,391.74,129,170.99,220.75,Sugar Shack,48.11914,-96.18115,1346,4
51,ORD00051,2025-03-18,2025-03-24,First,CUST1717,USA,Chicago,IL,77237,Other,Central,P742,Lickable Wallpaper,813.76,155,300.65,513.11,Secret Factory,41.446333,-90.565487,2124,6
52,ORD00052,2025-12-31,2026-01-08,Standard,CUST6909,USA,Houston,TX,23751,Sugar,South,P485,SweeTARTS,266.49,127,48.97,217.52,Sugar Shack,48.11914,-96.18115,2492,8
53,ORD00053,2025-11-17,2025-11-21,Standard,CUST1054,USA,Chicago,IL,69893,Other,Central,P916,Wonka Gum,1348.51,282,445.64,902.87,Secret Factory,41.446333,-90.565487,177,4
54,ORD00054,2025-05-10,2025-05-18,Standard,CUST4362,USA,New York,NY,40243,Chocolate,East,P857,Wonka Bar - Fudge Mallows,232.69,48,59.15,173.54,Lot's O' Nuts,32.881893,-111.768036,2040,8
55,ORD00055,2025-02-09,2025-02-13,Same Day,CUST1765,USA,Chicago,IL,90868,Sugar,Central,P747,Everlasting Gobstopper,1321.5,255,358.58,962.92,Secret Factory,41.446333,-90.565487,1666,4
56,ORD00056,2025-06-19,2025-06-24,Standard,CUST3186,USA,Houston,TX,11634,Sugar,South,P593,Everlasting Gobstopper,707.76,140,269.72,438.04,Secret Factory,41.446333,-90.565487,703,5
57,ORD00057,2025-12-21,2025-12-24,First,CUST9462,USA,Chicago,IL,47426,Chocolate,Central,P575,Wonka Bar - Nutty Crunch Surprise,530.42,121,144.52,385.9,Lot's O' Nuts,32.881893,-111.768036,507,3
58,ORD00058,2025-04-13,2025-04-21,Standard,CUST1286,USA,Chicago,IL,47956,Sugar,Central,P569,Nerds,1174.67,169,507.91,666.76,Sugar Shack,48.11914,-96.18115,2349,8
59,ORD00059,2025-04-18,2025-04-23,First,CUST9586,USA,Chicago,IL,44315,Chocolate,Central,P468,Wonka Bar - Fudge Mallows,247.48,117,50.16,197.32,Lot's O' Nuts,32.881893,-111.768036,1684,5
60,ORD00060,2025-04-29,2025-05-06,Standard,CUST1406,USA,Los Angeles,CA,30849,Chocolate,West,P103,Wonka Bar -Scrumdiddlyumptious,1474.52,264,486.03,988.49,Lot's O' Nuts,32.881893,-111.768036,1595,7
61,ORD00061,2025-03-14,2025-03-17,Same Day,CUST6428,USA,Chicago,IL,10228,Sugar,Central,P432,Nerds,731.32,223,205.06,526.26,Sugar Shack,48.11914,-96.18115,1336,3
62,ORD00062,2025-04-11,2025-04-13,Same Day,CUST7098,USA,Los Angeles,CA,18516,Other,West,P502,Lickable Wallpaper,82.52,16,22.46,60.06,Secret Factory,41.446333,-90.565487,591,2
63,ORD00063,2025-05-21,2025-05-26,First,CUST5679,USA,New York,NY,93225,Sugar,East,P252,SweeTARTS,92.14,34,17.29,74.85,Sugar Shack,48.11914,-96.18115,1853,5
64,ORD00064,2025-06-11,2025-06-16,Same Day,CUST8008,USA,Los Angeles,CA,13802,Chocolate,West,P931,Wonka Bar - Milk Chocolate,613.84,107,246.51,367.33,Wicked Choccy's,32.076176,-81.088371,2192,5
65,ORD00065,2025-01-26,2025-01-29,Second,CUST5689,USA,Chicago,IL,73645,Other,Central,P150,Lickable Wallpaper,954.58,220,376.61,577.97,Secret Factory,41.446333,-90.565487,430,3
66,ORD00066,2025-08-01,2025-08-08,Second,CUST5262,USA,Houston,TX,63242,Other,South,P771,Kazookles,551.95,185,144.14,407.81,The Other Factory,35.1175,-89.971107,2034,7
67,ORD00067,2025-12-09,2025-12-14,Same Day,CUST2231,USA,Los Angeles,CA,37246,Chocolate,West,P612,Wonka Bar - Milk Chocolate,602.11,211,222.45,379.66,Wicked Choccy's,32.076176,-81.088371,2382,5
68,ORD00068,2025-06-20,2025-06-26,Second,CUST4999,USA,Chicago,IL,21890,Other,Central,P278,Kazookles,942.35,240,325.9,616.45,The Other Factory,35.1175,-89.971107,1955,6
69,ORD00069,2025-07-08,2025-07-12,First,CUST1329,USA,New York,NY,64104,Sugar,East,P492,Laffy Taffy,661.07,142,160.75,500.32,Sugar Shack,48.11914,-96.18115,1079,4
70,ORD00070,2025-06-23,2025-06-26,Same Day,CUST6900,USA,Houston,TX,26498,Sugar,South,P803,SweeTARTS,173.86,41,61.3,112.56,Sugar Shack,48.11914,-96.18115,1206,3
71,ORD00071,2025-05-08,2025-05-14,Standard,CUST6112,USA,Houston,TX,12858,Sugar,South,P230,Fun Dip,755.58,206,240.71,514.87,Sugar Shack,48.11914,-96.18115,1210,6
72,ORD00072,2025-01-01,2025-01-06,Same Day,CUST9648,USA,Chicago,IL,71361,Chocolate,Central,P559,Wonka Bar - Nutty Crunch Surprise,204.59,47,88.09,116.5,Lot's O' Nuts,32.881893,-111.768036,2106,5
73,ORD00073,2025-03-19,2025-03-23,Second,CUST8492,USA,New York,NY,21141,Chocolate,East,P664,Wonka Bar - Milk Chocolate,1377.35,277,288.82,1088.53,Wicked Choccy's,32.076176,-81.088371,732,4
74,ORD00074,2025-04-30,2025-05-05,Standard,CUST3096,USA,New York,NY,92113,Other,East,P357,Lickable Wallpaper,124.82,29,34.52,90.3,Secret Factory,41.446333,-90.565487,614,5
75,ORD00075,2025-02-06,2025-02-11,Standard,CUST7358,USA,Chicago,IL,44194,Sugar,Central,P328,Fun Dip,710.1,163,251.89,458.21,Sugar Shack,48.11914,-96.18115,507,5
76,ORD00076,2025-06-04,2025-06-12,Standard,CUST4970,USA,New York,NY,72299,Other,East,P638,Lickable Wallpaper,747.91,245,209.77,538.14,Secret Factory,41.446333,-90.565487,2301,8
77,ORD00077,2025-12-27,2026-01-03,Standard,CUST7881,USA,Houston,TX,20628,Chocolate,South,P363,Wonka Bar - Milk Chocolate,360.17,167,86.58,273.59,Wicked Choccy's,32.076176,-81.088371,1786,7
78,ORD00078,2025-09-10,2025-09-14,First,CUST6936,USA,Chicago,IL,99465,Chocolate,Central,P505,Wonka Bar - Milk Chocolate,142.66,27,55.19,87.47,Wicked Choccy's,32.076176,-81.088371,1028,4
79,ORD00079,2025-02-04,2025-02-10,First,CUST4177,USA,New York,NY,40252,Chocolate,East,P576,Wonka Bar - Milk Chocolate,415.89,115,100.88,315.01,Wicked Choccy's,32.076176,-81.088371,2167,6
80,ORD00080,2025-11-16,2025-11-19,First,CUST8947,USA,Los Angeles,CA,64660,Chocolate,West,P781,Wonka Bar - Milk Chocolate,1382.73,263,587.09,795.64,Wicked Choccy's,32.076176,-81.088371,546,3
81,ORD00081,2025-04-20,2025-04-21,Same Day,CUST1849,USA,Houston,TX,17882,Chocolate,South,P288,Wonka Bar - Nutty Crunch Surprise,111.27,22,24.69,86.58,Lot's O' Nuts,32.881893,-111.768036,322,1
82,ORD00082,2025-02-10,2025-02-13,First,CUST9598,USA,Chicago,IL,71291,Sugar,Central,P132,SweeTARTS,286.35,94,67.98,218.37,Sugar Shack,48.11914,-96.18115,563,3
83,ORD00083,2025-08-15,2025-08-19,First,CUST2323,USA,Chicago,IL,56067,Chocolate,Central,P530,Wonka Bar - Triple Dazzle Caramel,212.17,96,42.02,170.15,Wicked Choccy's,32.076176,-81.088371,1458,4
84,ORD00084,2025-07-02,2025-07-08,Second,CUST1807,USA,New York,NY,72057,Other,East,P300,Kazookles,871.65,168,274.41,597.24,The Other Factory,35.1175,-89.971107,1657,6
85,ORD00085,2025-07-06,2025-07-11,Second,CUST7631,USA,Chicago,IL,15328,Sugar,Central,P484,Laffy Taffy,574.37,252,177.29,397.08,Sugar Shack,48.11914,-96.18115,1424,5
86,ORD00086,2025-05-12,2025-05-16,Standard,CUST6555,USA,Chicago,IL,57575,Chocolate,Central,P378,Wonka Bar - Nutty Crunch Surprise,638.5,109,271.36,367.14,Lot's O' Nuts,32.881893,-111.768036,353,4
87,ORD00087,2025-05-22,2025-05-26,First,CUST2070,USA,New York,NY,13179,Sugar,East,P945,Laffy Taffy,404.3,162,159.77,244.53,Sugar Shack,48.11914,-96.18115,1396,4
88,ORD00088,2025-07-17,2025-07-22,Same Day,CUST3174,USA,New York,NY,75082,Chocolate,East,P287,Wonka Bar - Milk Chocolate,881.88,138,359.71,522.17,Wicked Choccy's,32.076176,-81.088371,2007,5
89,ORD00089,2025-06-17,2025-06-22,Second,CUST2294,USA,Los Angeles,CA,77093,Chocolate,West,P302,Wonka Bar - Nutty Crunch Surprise,766.32,173,307.53,458.79,Lot's O' Nuts,32.881893,-111.768036,1067,5
90,ORD00090,2025-02-03,2025-02-09,Second,CUST3632,USA,Houston,TX,65909,Sugar,South,P207,SweeTARTS,111.47,27,38.46,73.01,Sugar Shack,48.11914,-96.18115,1770,6
91,ORD00091,2025-02-19,2025-02-24,Standard,CUST8323,USA,Los Angeles,CA,32700,Chocolate,West,P339,Wonka Bar - Fudge Mallows,1004.6,225,386.71,617.89,Lot's O' Nuts,32.881893,-111.768036,953,5
92,ORD00092,2025-10-03,2025-10-06,Same Day,CUST5577,USA,Chicago,IL,84302,Chocolate,Central,P374,Wonka Bar -Scrumdiddlyumptious,341.83,72,93.47,248.36,Lot's O' Nuts,32.881893,-111.768036,1062,3
93,ORD00093,2025-08-13,2025-08-16,First,CUST5609,USA,Los Angeles,CA,85796,Sugar,West,P292,Laffy Taffy,358.33,136,91.18,267.15,Sugar Shack,48.11914,-96.18115,915,3
94,ORD00094,2025-05-06,2025-05-09,Same Day,CUST2647,USA,New York,NY,95632,Sugar,East,P575,Laffy Taffy,1204.17,269,446.73,757.44,Sugar Shack,48.11914,-96.18115,1130,3
95,ORD00095,2025-04-29,2025-05-07,Standard,CUST5811,USA,New York,NY,40525,Chocolate,East,P222,Wonka Bar - Nutty Crunch Surprise,1107.72,239,202.88,904.84,Lot's O' Nuts,32.881893,-111.768036,2044,8
96,ORD00096,2025-07-10,2025-07-13,Second,CUST5258,USA,Houston,TX,97130,Chocolate,South,P106,Wonka Bar - Nutty Crunch Surprise,1465.02,272,468.05,996.97,Lot's O' Nuts,32.881893,-111.768036,407,3
97,ORD00097,2025-07-08,2025-07-11,Second,CUST5176,USA,Los Angeles,CA,15011,Chocolate,West,P713,Wonka Bar - Fudge Mallows,450.97,184,109.94,341.03,Lot's O' Nuts,32.881893,-111.768036,253,3
98,ORD00098,2025-07-29,2025-08-04,Standard,CUST4332,USA,Houston,TX,14124,Sugar,South,P914,Hair Toffee,544.62,200,152.05,392.57,The Other Factory,35.1175,-89.971107,1440,6
99,ORD00099,2025-02-21,2025-02-28,Standard,CUST9749,USA,Chicago,IL,21947,Sugar,Central,P768,Nerds,866.04,212,196.11,669.93,Sugar Shack,48.11914,-96.18115,1771,7
100,ORD00100,2025-05-26,2025-05-31,First,CUST6852,USA,Chicago,IL,64274,Chocolate,Central,P526,Wonka Bar -Scrumdiddlyumptious,523.04,167,98.09,424.95,Lot's O' Nuts,32.881893,-111.768036,1778,5
101,ORD00101,2025-07-27,2025-08-02,Second,CUST3565,USA,Los Angeles,CA,65542,Chocolate,West,P216,Wonka Bar - Nutty Crunch Surprise,641.85,114,202.38,439.47,Lot's O' Nuts,32.881893,-111.768036,1700,6
102,ORD00102,2025-07-06,2025-07-11,Same Day,CUST1846,USA,New York,NY,82292,Other,East,P245,Wonka Gum,1074.79,245,233.79,841.0,Secret Factory,41.446333,-90.565487,2466,5
103,ORD00103,2025-11-15,2025-11-23,Standard,CUST6700,USA,Chicago,IL,47132,Sugar,Central,P265,Everlasting Gobstopper,866.87,199,201.59,665.28,Secret Factory,41.446333,-90.565487,2446,8
104,ORD00104,2025-07-16,2025-07-21,Standard,CUST4233,USA,Houston,TX,49533,Sugar,South,P229,Fun Dip,1479.61,261,596.41,883.2,Sugar Shack,48.11914,-96.18115,545,5
105,ORD00105,2025-01-28,2025-01-31,Same Day,CUST3625,USA,New York,NY,93928,Other,East,P904,Wonka Gum,580.77,208,223.9,356.87,Secret Factory,41.446333,-90.565487,1388,3
106,ORD00106,2025-08-31,2025-09-02,Same Day,CUST9485,USA,Houston,TX,30510,Other,South,P492,Wonka Gum,367.63,103,67.53,300.1,Secret Factory,41.446333,-90.565487,903,2
107,ORD00107,2025-04-09,2025-04-14,Second,CUST1624,USA,New York,NY,97542,Sugar,East,P958,Laffy Taffy,196.13,31,81.13,115.0,Sugar Shack,48.11914,-96.18115,1111,5
108,ORD00108,2025-10-09,2025-10-13,Same Day,CUST5083,USA,New York,NY,65802,Sugar,East,P498,Laffy Taffy,717.88,166,199.53,518.35,Sugar Shack,48.11914,-96.18115,1966,4
109,ORD00109,2025-08-13,2025-08-18,Same Day,CUST9019,USA,Los Angeles,CA,70984,Sugar,West,P340,Everlasting Gobstopper,247.33,101,89.93,157.4,Secret Factory,41.446333,-90.565487,2162,5
110,ORD00110,2025-07-24,2025-07-31,Second,CUST6985,USA,Chicago,IL,22021,Sugar,Central,P921,Nerds,151.05,64,44.31,106.74,Sugar Shack,48.11914,-96.18115,2038,7
111,ORD00111,2025-02-12,2025-02-17,Standard,CUST1889,USA,New York,NY,76050,Sugar,East,P486,Nerds,882.28,170,296.78,585.5,Sugar Shack,48.11914,-96.18115,633,5
112,ORD00112,2025-11-11,2025-11-15,Standard,CUST9058,USA,Houston,TX,47733,Sugar,South,P930,Everlasting Gobstopper,234.29,66,103.33,130.96,Secret Factory,41.446333,-90.565487,371,4
113,ORD00113,2025-06-29,2025-07-02,Second,CUST5505,USA,Houston,TX,69821,Other,South,P247,Kazookles,458.24,139,194.57,263.67,The Other Factory,35.1175,-89.971107,368,3
114,ORD00114,2025-11-12,2025-11-17,Second,CUST4259,USA,Chicago,IL,33867,Chocolate,Central,P513,Wonka Bar - Triple Dazzle Caramel,801.57,269,238.42,563.15,Wicked Choccy's,32.076176,-81.088371,1176,5
115,ORD00115,2025-03-28,2025-04-02,First,CUST6894,USA,Los Angeles,CA,69380,Chocolate,West,P668,Wonka Bar -Scrumdiddlyumptious,393.61,145,134.39,259.22,Lot's O' Nuts,32.881893,-111.768036,1643,5
116,ORD00116,2025-11-19,2025-11-25,First,CUST7156,USA,New York,NY,58358,Sugar,East,P691,Fun Dip,1004.2,211,298.45,705.75,Sugar Shack,48.11914,-96.18115,2294,6
117,ORD00117,2025-08-15,2025-08-17,First,CUST1791,USA,Los Angeles,CA,48847,Chocolate,West,P939,Wonka Bar -Scrumdiddlyumptious,405.98,127,159.36,246.62,Lot's O' Nuts,32.881893,-111.768036,433,2
118,ORD00118,2025-12-06,2025-12-12,First,CUST4631,USA,Los Angeles,CA,29577,Sugar,West,P397,Fun Dip,933.81,170,367.27,566.54,Sugar Shack,48.11914,-96.18115,2499,6
119,ORD00119,2025-07-06,2025-07-11,Same Day,CUST1746,USA,Chicago,IL,12921,Other,Central,P155,Fizzy Lifting Drinks,83.15,34,20.93,62.22,Sugar Shack,48.11914,-96.18115,2199,5
120,ORD00120,2025-09-25,2025-09-28,First,CUST5934,USA,Los Angeles,CA,87213,Chocolate,West,P236,Wonka Bar - Nutty Crunch Surprise,788.22,192,243.85,544.37,Lot's O' Nuts,32.881893,-111.768036,535,3
121,ORD00121,2025-03-10,2025-03-12,Same Day,CUST3446,USA,Los Angeles,CA,69094,Chocolate,West,P198,Wonka Bar - Milk Chocolate,87.92,17,22.61,65.31,Wicked Choccy's,32.076176,-81.088371,749,2
122,ORD00122,2025-05-16,2025-05-21,First,CUST6739,USA,Houston,TX,87951,Chocolate,South,P761,Wonka Bar - Fudge Mallows,41.64,15,17.04,24.6,Lot's O' Nuts,32.881893,-111.768036,1746,5
123,ORD00123,2025-03-26,2025-03-29,Same Day,CUST7651,USA,Chicago,IL,34334,Other,Central,P343,Fizzy Lifting Drinks,24.45,10,8.35,16.1,Sugar Shack,48.11914,-96.18115,1117,3
124,ORD00124,2025-11-10,2025-11-14,Standard,CUST7769,USA,New York,NY,36151,Chocolate,East,P630,Wonka Bar -Scrumdiddlyumptious,1209.54,292,292.08,917.46,Lot's O' Nuts,32.881893,-111.768036,150,4
125,ORD00125,2025-06-08,2025-06-15,Second,CUST8830,USA,Chicago,IL,80569,Other,Central,P106,Fizzy Lifting Drinks,116.19,42,21.66,94.53,Sugar Shack,48.11914,-96.18115,2183,7
126,ORD00126,2025-12-02,2025-12-03,Same Day,CUST5283,USA,Chicago,IL,40447,Sugar,Central,P759,SweeTARTS,839.96,241,372.79,467.17,Sugar Shack,48.11914,-96.18115,429,1
127,ORD00127,2025-12-31,2026-01-04,First,CUST8144,USA,New York,NY,99880,Chocolate,East,P907,Wonka Bar - Nutty Crunch Surprise,119.43,36,41.49,77.94,Lot's O' Nuts,32.881893,-111.768036,1178,4
128,ORD00128,2025-02-13,2025-02-16,First,CUST4868,USA,Los Angeles,CA,36578,Other,West,P263,Kazookles,561.12,269,147.38,413.74,The Other Factory,35.1175,-89.971107,988,3
129,ORD00129,2025-06-18,2025-06-24,Second,CUST9787,USA,Los Angeles,CA,71537,Sugar,West,P583,Hair Toffee,553.08,132,229.86,323.22,The Other Factory,35.1175,-89.971107,1692,6
