Order ID,Row ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Factory Latitude,Factory Longitude,Distance (km),Lead Time,Profit Margin (%),Sales per Unit,Cost per Unit,Distance Category,High Value Order,Route ID,Shipping Rate ($/km),Estimated Shipping Cost,Delivery Efficiency Score,Factory Order Count,Factory Workload,Current Factory,Simulated Factory,Simulated Distance (km),Predicted Shipping Cost,Predicted Lead Time,Lead Time Improvement,Shipping Cost Savings,Estimated Gross Profit,Profit Impact,Optimization Score,Recommendation,Priority,Scenario Confidence Score
ORD00030,30,2025-12-16,2025-12-22,3,CUST2738,USA,New York,NY,83439,2,1,P158,Hair Toffee,1157.89,275,380.52,777.37,3,35.1175,-89.971107,1435,6,32.86,4.21,2.83,0,1,The Other Factory_East,0.45,645.75,239.17,681,1,3,Secret Factory,1219.75,548.89,5.999047563503864,0.0,96.86,-168.37,-548.89,-80.72,Reallocate,Low,75.0
ORD00031,31,2025-02-20,2025-02-22,0,CUST2038,USA,Houston,TX,68097,0,2,P433,Wonka Bar - Milk Chocolate,860.94,269,153.35,707.59,4,32.076176,-81.088371,272,2,17.81,3.2,2.63,2,1,Wicked Choccy's_South,0.8,217.6,136.0,670,1,4,Secret Factory,231.2,184.96,2.005895712188211,-0.01,32.64,-31.61,-184.96,-27.21,Reallocate,Low,75.0
ORD00032,32,2025-09-18,2025-09-23,0,CUST5057,USA,Houston,TX,78578,1,2,P997,Fizzy Lifting Drinks,1498.2,283,502.49,995.71,2,48.11914,-96.18115,1952,5,33.54,5.29,3.52,3,1,Sugar Shack_South,0.8,1561.6,390.4,1676,0,2,Secret Factory,1659.2,1327.36,5.005218743890439,-0.01,234.24,-824.87,-1327.36,-195.2,Reallocate,Low,75.0
ORD00033,33,2025-03-12,2025-03-18,2,CUST2188,USA,Los Angeles,CA,97969,1,3,P346,Kazookles,589.48,223,187.18,402.3,3,35.1175,-89.971107,1933,6,31.75,2.64,1.8,3,1,The Other Factory_West,0.6,1159.8,322.17,681,1,3,Secret Factory,1643.05,985.83,5.997642499407235,0.0,173.97,-798.65,-985.83,-144.98,Reallocate,Low,75.0
ORD00034,34,2025-03-04,2025-03-09,2,CUST6999,USA,New York,NY,28740,2,1,P359,SweeTARTS,543.29,89,200.75,342.54,2,48.11914,-96.18115,1340,5,36.95,6.1,3.85,0,0,Sugar Shack_East,0.6,804.0,268.0,1676,0,2,Secret Factory,1139.0,683.4,5.0098780207325015,-0.01,120.6,-482.65,-683.4,-100.51,Reallocate,Low,75.0
ORD00035,35,2025-02-18,2025-02-20,1,CUST4665,USA,Houston,TX,31163,1,2,P823,Kazookles,1026.11,213,235.38,790.73,3,35.1175,-89.971107,999,2,22.94,4.82,3.71,1,1,The Other Factory_South,1.1,1098.9,499.5,681,1,3,Secret Factory,849.15,934.06,2.010896668683005,-0.01,164.84,-698.68,-934.06,-137.36,Reallocate,Low,75.0
ORD00036,36,2025-04-11,2025-04-16,0,CUST1319,USA,Chicago,IL,54299,2,0,P667,SweeTARTS,720.1,192,279.21,440.89,2,48.11914,-96.18115,1825,5,38.77,3.75,2.3,3,1,Sugar Shack_Central,0.8,1460.0,365.0,1676,0,2,Secret Factory,1551.25,1241.0,5.005218743890439,-0.01,219.0,-961.79,-1241.0,-182.5,Reallocate,Low,75.0
ORD00037,37,2025-06-19,2025-06-26,3,CUST2053,USA,Chicago,IL,24791,2,0,P907,Nerds,1263.75,274,425.36,838.39,2,48.11914,-96.18115,1674,7,33.66,4.61,3.06,3,1,Sugar Shack_Central,0.45,753.3,239.14,1676,0,2,Secret Factory,1422.9,640.31,5.990165740061215,1.01,112.99,-214.95,-640.31,-93.66,Reallocate,Medium,80.0
ORD00038,38,2025-05-20,2025-05-26,3,CUST3122,USA,New York,NY,65345,0,1,P969,Wonka Bar - Milk Chocolate,147.83,30,34.89,112.94,4,32.076176,-81.088371,1187,6,23.6,4.93,3.76,0,0,Wicked Choccy's_East,0.45,534.15,197.83,670,1,4,Secret Factory,1008.95,454.03,5.9784853561235245,0.02,80.12,-419.14,-454.03,-66.76,Reallocate,Low,75.1
ORD00039,39,2025-10-02,2025-10-04,1,CUST2465,USA,Los Angeles,CA,46577,1,3,P158,Kazookles,1294.47,273,495.54,798.93,3,35.1175,-89.971107,711,2,38.28,4.74,2.93,1,1,The Other Factory_West,1.1,782.1,355.5,681,1,3,Secret Factory,604.35,664.79,2.002682777252975,-0.0,117.31,-169.25,-664.79,-97.76,Reallocate,Low,75.0
ORD00040,40,2025-05-18,2025-05-19,1,CUST2372,USA,Houston,TX,89715,1,2,P976,Lickable Wallpaper,93.38,18,37.83,55.55,1,41.446333,-90.565487,396,1,40.51,5.19,3.09,2,0,Secret Factory_South,1.1,435.6,396.0,977,2,1,Secret Factory,336.6,370.26,1.002242700127834,-0.0,65.34,-332.43,-370.26,-54.45,Reallocate,Low,75.0
ORD00041,41,2025-08-21,2025-08-24,0,CUST5388,USA,New York,NY,91487,0,1,P232,Wonka Bar - Milk Chocolate,53.95,15,18.73,35.22,4,32.076176,-81.088371,598,3,34.72,3.6,2.35,1,0,Wicked Choccy's_East,0.8,478.4,199.33,670,1,4,Secret Factory,508.3,406.64,3.0037421437612037,-0.0,71.76,-387.91,-406.64,-59.8,Reallocate,Low,75.0
ORD00042,42,2025-05-15,2025-05-20,3,CUST5997,USA,Houston,TX,79610,0,2,P877,Wonka Bar - Nutty Crunch Surprise,120.25,35,51.9,68.35,0,32.881893,-111.768036,761,5,43.16,3.44,1.95,1,0,Lot's O' Nuts_South,0.45,342.45,152.2,996,0,0,Secret Factory,646.85,291.08,5.0000098079598345,-0.0,51.37,-239.18,-291.08,-42.81,Reallocate,Low,75.0
ORD00043,43,2025-12-11,2025-12-16,1,CUST5103,USA,Los Angeles,CA,14843,0,3,P115,Wonka Bar - Milk Chocolate,369.77,101,149.96,219.81,4,32.076176,-81.088371,2148,5,40.55,3.66,2.18,3,0,Wicked Choccy's_West,1.1,2362.8,429.6,670,1,4,Secret Factory,1825.8,2008.38,3.9964005877111783,1.0,354.42,-1858.42,-2008.38,-294.85,Reallocate,Medium,80.0
ORD00044,44,2025-08-17,2025-08-20,1,CUST9110,USA,Houston,TX,81553,0,2,P954,Wonka Bar - Nutty Crunch Surprise,320.13,64,118.8,201.33,0,32.881893,-111.768036,1106,3,37.11,5.0,3.15,0,0,Lot's O' Nuts_South,1.1,1216.6,368.67,996,0,0,Secret Factory,940.1,1034.11,2.010896668683005,0.99,182.49,-915.31,-1034.11,-151.58,Reallocate,Low,80.0
ORD00045,45,2025-04-28,2025-05-01,0,CUST3289,USA,Chicago,IL,63044,1,0,P455,Kazookles,638.68,185,269.32,369.36,3,35.1175,-89.971107,981,3,42.17,3.45,2.0,1,1,The Other Factory_Central,0.8,784.8,327.0,681,1,3,Secret Factory,833.85,667.08,3.0025574597928832,-0.0,117.72,-397.76,-667.08,-98.1,Reallocate,Low,75.0
ORD00046,46,2025-11-17,2025-11-21,3,CUST7240,USA,Houston,TX,76314,0,2,P786,Wonka Bar - Nutty Crunch Surprise,444.9,140,84.14,360.76,0,32.881893,-111.768036,389,4,18.91,3.18,2.58,2,0,Lot's O' Nuts_South,0.45,175.05,97.25,996,0,0,Secret Factory,330.65,148.79,4.001990339078945,-0.0,26.26,-64.65,-148.79,-21.88,Reallocate,Low,75.0
ORD00047,47,2025-08-24,2025-08-26,0,CUST5312,USA,Houston,TX,57728,0,2,P436,Wonka Bar - Triple Dazzle Caramel,289.04,104,92.08,196.96,4,32.076176,-81.088371,285,2,31.86,2.78,1.89,2,0,Wicked Choccy's_South,0.8,228.0,142.5,670,1,4,Secret Factory,242.25,193.8,2.005895712188211,-0.01,34.2,-101.72,-193.8,-28.51,Reallocate,Low,75.0
ORD00048,48,2025-06-08,2025-06-11,2,CUST7252,USA,Los Angeles,CA,20995,2,3,P586,Fun Dip,347.43,121,58.06,289.37,2,48.11914,-96.18115,241,3,16.71,2.87,2.39,2,0,Sugar Shack_West,0.6,144.6,80.33,1676,0,2,Secret Factory,204.85,122.91,2.9977092294356473,0.0,21.69,-64.85,-122.91,-18.08,Reallocate,Low,75.0
ORD00049,49,2025-01-03,2025-01-10,2,CUST7545,USA,Houston,TX,86913,0,2,P142,Wonka Bar - Triple Dazzle Caramel,151.69,56,30.71,120.98,4,32.076176,-81.088371,2167,7,20.25,2.71,2.16,3,0,Wicked Choccy's_South,0.6,1300.2,309.57,670,1,4,Secret Factory,1841.95,1105.17,6.005287751698004,0.99,195.03,-1074.46,-1105.17,-162.03,Reallocate,Low,80.0
ORD00050,50,2025-11-19,2025-11-23,0,CUST3543,USA,New York,NY,96185,2,1,P833,SweeTARTS,391.74,129,170.99,220.75,2,48.11914,-96.18115,1346,4,43.65,3.04,1.71,0,0,Sugar Shack_East,0.8,1076.8,336.5,1676,0,2,Secret Factory,1144.1,915.28,3.983023093528468,0.02,161.52,-744.29,-915.28,-134.59,Reallocate,Low,75.1
ORD00051,51,2025-03-18,2025-03-24,0,CUST1717,USA,Chicago,IL,77237,1,0,P742,Lickable Wallpaper,813.76,155,300.65,513.11,1,41.446333,-90.565487,2124,6,36.95,5.25,3.31,3,1,Secret Factory_Central,0.8,1699.2,354.0,977,2,1,Secret Factory,1805.4,1444.32,5.005218743890439,0.99,254.88,-1143.67,-1444.32,-211.9,Reallocate,Low,80.0
ORD00052,52,2025-12-31,2026-01-08,3,CUST6909,USA,Houston,TX,23751,2,2,P485,SweeTARTS,266.49,127,48.97,217.52,2,48.11914,-96.18115,2492,8,18.38,2.1,1.71,3,0,Sugar Shack_South,0.45,1121.4,311.5,1676,0,2,Secret Factory,2118.2,953.19,7.998636342623853,0.0,168.21,-904.22,-953.19,-140.18,Reallocate,Low,75.0
ORD00053,53,2025-11-17,2025-11-21,3,CUST1054,USA,Chicago,IL,69893,1,0,P916,Wonka Gum,1348.51,282,445.64,902.87,1,41.446333,-90.565487,177,4,33.05,4.78,3.2,2,1,Secret Factory_Central,0.45,79.65,44.25,977,2,1,Secret Factory,150.45,67.7,4.001990339078945,-0.0,11.95,377.94,-67.7,-9.96,Reallocate,Low,75.0
ORD00054,54,2025-05-10,2025-05-18,3,CUST4362,USA,New York,NY,40243,0,1,P857,Wonka Bar - Fudge Mallows,232.69,48,59.15,173.54,0,32.881893,-111.768036,2040,8,25.42,4.85,3.62,3,0,Lot's O' Nuts_East,0.45,918.0,255.0,996,0,0,Secret Factory,1734.0,780.3,7.003233455938611,1.0,137.7,-721.15,-780.3,-114.25,Reallocate,Medium,80.0
ORD00055,55,2025-02-09,2025-02-13,1,CUST1765,USA,Chicago,IL,90868,2,0,P747,Everlasting Gobstopper,1321.5,255,358.58,962.92,1,41.446333,-90.565487,1666,4,27.13,5.18,3.78,3,1,Secret Factory_Central,1.1,1832.6,416.5,977,2,1,Secret Factory,1416.1,1557.71,3.024695743167103,0.98,274.89,-1199.13,-1557.71,-228.59,Reallocate,Low,79.9
ORD00056,56,2025-06-19,2025-06-24,3,CUST3186,USA,Houston,TX,11634,2,2,P593,Everlasting Gobstopper,707.76,140,269.72,438.04,1,41.446333,-90.565487,703,5,38.11,5.06,3.13,1,1,Secret Factory_South,0.45,316.35,140.6,977,2,1,Secret Factory,597.55,268.9,5.0000098079598345,-0.0,47.45,0.82,-268.9,-39.54,Reallocate,Low,75.0
ORD00057,57,2025-12-21,2025-12-24,0,CUST9462,USA,Chicago,IL,47426,0,0,P575,Wonka Bar - Nutty Crunch Surprise,530.42,121,144.52,385.9,0,32.881893,-111.768036,507,3,27.25,4.38,3.19,1,0,Lot's O' Nuts_Central,0.8,405.6,169.0,996,0,0,Secret Factory,430.95,344.76,2.005895712188211,0.99,60.84,-200.24,-344.76,-50.2,Reallocate,Low,80.0
ORD00058,58,2025-04-13,2025-04-21,3,CUST1286,USA,Chicago,IL,47956,2,0,P569,Nerds,1174.67,169,507.91,666.76,2,48.11914,-96.18115,2349,8,43.24,6.95,3.95,3,1,Sugar Shack_Central,0.45,1057.05,293.62,1676,0,2,Secret Factory,1996.65,898.49,7.014227151148234,0.99,158.56,-390.58,-898.49,-131.64,Reallocate,Low,80.0
ORD00059,59,2025-04-18,2025-04-23,0,CUST9586,USA,Chicago,IL,44315,0,0,P468,Wonka Bar - Fudge Mallows,247.48,117,50.16,197.32,0,32.881893,-111.768036,1684,5,20.27,2.12,1.69,3,0,Lot's O' Nuts_Central,0.8,1347.2,336.8,996,0,0,Secret Factory,1431.4,1145.12,3.9778110183655886,1.02,202.08,-1094.96,-1145.12,-167.89,Reallocate,Medium,80.1
ORD00060,60,2025-04-29,2025-05-06,3,CUST1406,USA,Los Angeles,CA,30849,0,3,P103,Wonka Bar -Scrumdiddlyumptious,1474.52,264,486.03,988.49,0,32.881893,-111.768036,1595,7,32.96,5.59,3.74,3,1,Lot's O' Nuts_West,0.45,717.75,227.86,996,0,0,Secret Factory,1355.75,610.09,5.9978628795355435,1.0,107.66,-124.06,-610.09,-89.22,Reallocate,Medium,80.0
ORD00061,61,2025-03-14,2025-03-17,1,CUST6428,USA,Chicago,IL,10228,2,0,P432,Nerds,731.32,223,205.06,526.26,2,48.11914,-96.18115,1336,3,28.04,3.28,2.36,0,1,Sugar Shack_Central,1.1,1469.6,445.33,1676,0,2,Secret Factory,1135.6,1249.16,3.0015818442642255,-0.0,220.44,-1044.1,-1249.16,-183.7,Reallocate,Low,75.0
ORD00062,62,2025-04-11,2025-04-13,1,CUST7098,USA,Los Angeles,CA,18516,1,3,P502,Lickable Wallpaper,82.52,16,22.46,60.06,1,41.446333,-90.565487,591,2,27.22,5.16,3.75,1,0,Secret Factory_West,1.1,650.1,295.5,977,2,1,Secret Factory,502.35,552.58,2.009192190580905,-0.01,97.52,-530.12,-552.58,-81.27,Reallocate,Low,75.0
ORD00063,63,2025-05-21,2025-05-26,0,CUST5679,USA,New York,NY,93225,2,1,P252,SweeTARTS,92.14,34,17.29,74.85,2,48.11914,-96.18115,1853,5,18.76,2.71,2.2,3,0,Sugar Shack_East,0.8,1482.4,370.6,1676,0,2,Secret Factory,1575.05,1260.04,5.005218743890439,-0.01,222.36,-1242.75,-1260.04,-185.3,Reallocate,Low,75.0
ORD00064,64,2025-06-11,2025-06-16,1,CUST8008,USA,Los Angeles,CA,13802,0,3,P931,Wonka Bar - Milk Chocolate,613.84,107,246.51,367.33,4,32.076176,-81.088371,2192,5,40.16,5.74,3.43,3,1,Wicked Choccy's_West,1.1,2411.2,438.4,670,1,4,Secret Factory,1863.2,2049.52,4.001485024027505,1.0,361.68,-1803.01,-2049.52,-300.9,Reallocate,Medium,80.0
ORD00065,65,2025-01-26,2025-01-29,2,CUST5689,USA,Chicago,IL,73645,1,0,P150,Lickable Wallpaper,954.58,220,376.61,577.97,1,41.446333,-90.565487,430,3,39.45,4.34,2.63,2,1,Secret Factory_Central,0.6,258.0,143.33,977,2,1,Secret Factory,365.5,219.3,2.9977092294356473,0.0,38.7,157.31,-219.3,-32.25,Reallocate,Low,75.0
ORD00066,66,2025-08-01,2025-08-08,2,CUST5262,USA,Houston,TX,63242,1,2,P771,Kazookles,551.95,185,144.14,407.81,3,35.1175,-89.971107,2034,7,26.11,2.98,2.2,3,0,The Other Factory_South,0.6,1220.4,290.57,681,1,3,Secret Factory,1728.9,1037.34,5.997642499407235,1.0,183.06,-893.2,-1037.34,-152.05,Reallocate,Medium,80.0
